ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
15D6114DEE7104D3,classic_bike,2020-11-04 16:38:49,2020-11-04 17:35:55,Coldwater Spring,155,Coldwater Spring,155,44.905043,-93.198283,44.905043,-93.198283,casual
A15BBE5853937371,electric_bike,2020-11-03 19:16:10,2020-11-03 19:34:23,,,,,45.03,-93.3,45.03,-93.3,casual
3D9E90B86E98F735,electric_bike,2020-11-04 16:19:21,2020-11-04 17:05:45,,,,,44.99,-93.32,44.99,-93.32,casual
A97C0285A0D2D561,electric_bike,2020-11-04 14:27:08,2020-11-04 14:44:10,,,,,45.0,-93.29,45.0,-93.29,casual
C57CCC6B84485FC2,electric_bike,2020-11-04 16:11:59,2020-11-04 16:25:25,,,,,44.96,-93.27,44.94,-93.25,casual
186DDF7886A754DD,electric_bike,2020-11-02 15:20:48,2020-11-02 16:22:22,Greenway Lakes,,Cedar Lake Point Beach,801,44.95,-93.32,44.9611115,-93.32479333333333,casual
EBA454153ED93863,electric_bike,2020-11-01 15:26:56,2020-11-01 15:30:52,SE Bank St. & SE 2nd St.,,South 2nd Street & 3rd Ave S,32,44.99,-93.26,44.98091516666667,-93.26355816666667,casual
3A0AD6E2A43C12E0,electric_bike,2020-11-01 16:38:31,2020-11-01 16:55:23,S 3rd St & 5th Ave S,,,,44.98,-93.26,44.98,-93.27,casual
40F2E91466BEF144,electric_bike,2020-11-01 16:36:50,2020-11-01 16:36:59,S 3rd St & 5th Ave S,,S 3rd St & 5th Ave S,,44.98,-93.26,44.98,-93.26,casual
23BEE93F624D88AE,electric_bike,2020-11-02 16:11:07,2020-11-02 16:18:58,MCAD,20,Dupont Ave S & W 29th Street,162,44.957132333333334,-93.27494383333334,44.949884,-93.29312516666667,casual
C96CC9CC6FE240A1,classic_bike,2020-11-01 12:57:15,2020-11-01 14:05:37,Boom Island Park,153,Boom Island Park,153,44.99254,-93.270256,44.99254,-93.270256,casual
8B5C24926123EF28,electric_bike,2020-11-04 18:25:46,2020-11-04 18:32:34,,,South 2nd Street & 3rd Ave S,32,44.98,-93.27,44.980981166666666,-93.2635745,casual
